Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
511-54-3087,B,Mandalay,Normal,Male,Sports and travel,88.45,1,4.4225,92.8725,2/25/2019,16:36:00,Credit card,88.45,4.761904762,4.4225,9.5
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,02/06/19,20:05:00,Credit card,89.75,4.761904762,4.4875,6.6
512-98-1403,A,Yangon,Member,Female,Electronic accessories,26.48,3,3972,83412,3/21/2019,10:40:00,Ewallet,79.44,4.761904762,3972,4.7
514-37-2845,B,Mandalay,Normal,Male,Fashion accessories,99.25,2,9925,208425,3/20/2019,13:02:00,Cash,198.5,4.761904762,9925,9
516-77-6464,C,Naypyitaw,Member,Female,Health and beauty,10.16,5,2.54,53.34,2/24/2019,13:08:00,Ewallet,50.8,4.761904762,2.54,4.1
518-17-2983,A,Yangon,Normal,Female,Fashion accessories,48.63,4,9726,204246,02/04/19,15:44:00,Ewallet,194.52,4.761904762,9726,7.6
518-71-6847,B,Mandalay,Member,Male,Food and beverages,26.6,6,7.98,167.58,2/26/2019,15:10:00,Ewallet,159.6,4.761904762,7.98,4.9
521-18-7827,C,Naypyitaw,Member,Male,Home and lifestyle,39.39,5,9.8475,206.7975,1/22/2019,20:46:00,Credit card,196.95,4.761904762,9.8475,8.7
522-57-8364,A,Yangon,Member,Male,Fashion accessories,51.34,8,20536,431256,1/31/2019,10:00:00,Ewallet,410.72,4.761904762,20536,7.6
523-38-0215,C,Naypyitaw,Normal,Male,Home and lifestyle,37,1,1.85,38.85,03/06/19,13:29:00,Credit card,37,4.761904762,1.85,7.9
525-09-8450,B,Mandalay,Normal,Male,Electronic accessories,72.13,10,36065,757365,1/31/2019,15:12:00,Credit card,721.3,4.761904762,36065,4.2
525-88-7307,B,Mandalay,Member,Male,Sports and travel,75.82,1,3791,79611,1/31/2019,13:19:00,Cash,75.82,4.761904762,3791,5.8
526-86-8552,C,Naypyitaw,Member,Female,Home and lifestyle,21.82,10,10.91,229.11,01/07/19,17:36:00,Cash,218.2,4.761904762,10.91,7.1
527-09-6272,A,Yangon,Member,Female,Electronic accessories,28.45,5,7.1125,149.3625,3/21/2019,10:17:00,Credit card,142.25,4.761904762,7.1125,9.1
528-14-9470,A,Yangon,Member,Male,Health and beauty,91.3,1,4565,95865,2/14/2019,14:42:00,Ewallet,91.3,4.761904762,4565,9.2
528-87-5606,B,Mandalay,Member,Female,Electronic accessories,39.48,1,1974,41454,02/12/19,19:43:00,Cash,39.48,4.761904762,1974,6.5
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5102,107142,03/09/19,17:03:00,Cash,102.04,4.761904762,5102,6.8
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8,19036,399756,01/01/19,14:47:00,Cash,380.72,4.761904762,19036,5.7
531-56-4728,A,Yangon,Normal,Male,Home and lifestyle,80.08,3,12012,252252,02/11/19,15:29:00,Cash,240.24,4.761904762,12012,5.4
531-80-1784,A,Yangon,Normal,Male,Electronic accessories,26.02,7,9107,191247,3/28/2019,17:38:00,Cash,182.14,4.761904762,9107,5.1
532-59-7201,B,Mandalay,Member,Male,Sports and travel,79.93,6,23979,503559,1/31/2019,14:04:00,Cash,479.58,4.761904762,23979,5.5
533-33-5337,B,Mandalay,Normal,Male,Electronic accessories,79.39,10,39695,833595,02/07/19,20:24:00,Cash,793.9,4.761904762,39695,6.2
533-66-5566,B,Mandalay,Normal,Female,Home and lifestyle,51.07,7,17.8745,375.3645,01/12/19,11:42:00,Cash,357.49,4.761904762,17.8745,7
534-01-4457,A,Yangon,Normal,Male,Food and beverages,81.71,6,24513,514773,1/27/2019,14:36:00,Credit card,490.26,4.761904762,24513,8
534-53-3526,A,Yangon,Normal,Female,Sports and travel,94.76,4,18952,397992,02/11/19,16:06:00,Ewallet,379.04,4.761904762,18952,7.8
537-72-0426,C,Naypyitaw,Member,Male,Fashion accessories,70.99,10,35495,745395,3/20/2019,16:28:00,Cash,709.9,4.761904762,35495,5.7
538-22-0304,C,Naypyitaw,Normal,Male,Electronic accessories,64.95,10,32475,681975,3/24/2019,18:27:00,Cash,649.5,4.761904762,32475,5.2
539-21-7227,B,Mandalay,Normal,Female,Sports and travel,51.54,5,12885,270585,1/26/2019,17:45:00,Cash,257.7,4.761904762,12885,4.2
540-11-4336,A,Yangon,Normal,Male,Food and beverages,24.94,9,11223,235683,01/11/19,16:49:00,Credit card,224.46,4.761904762,11223,5.6
541-08-3113,C,Naypyitaw,Normal,Male,Food and beverages,65.97,8,26388,554148,02/02/19,20:29:00,Cash,527.76,4.761904762,26388,8.4
541-48-8554,A,Yangon,Normal,Male,Sports and travel,60.95,9,27.4275,575.9775,01/07/19,12:08:00,Credit card,548.55,4.761904762,27.4275,6
541-89-9860,C,Naypyitaw,Member,Female,Fashion accessories,80.48,3,12072,253512,2/15/2019,12:31:00,Cash,241.44,4.761904762,12072,8.1
542-41-0513,B,Mandalay,Member,Female,Electronic accessories,57.49,4,11498,241458,3/15/2019,11:57:00,Cash,229.96,4.761904762,11498,6.6
544-32-5024,C,Naypyitaw,Member,Female,Food and beverages,49.79,4,9958,209118,3/28/2019,19:16:00,Credit card,199.16,4.761904762,9958,6.4
544-55-9589,B,Mandalay,Member,Female,Electronic accessories,21.43,10,10715,225015,1/28/2019,11:51:00,Cash,214.3,4.761904762,10715,6.2
545-07-8534,C,Naypyitaw,Normal,Female,Health and beauty,58.32,2,5832,122472,2/14/2019,12:42:00,Ewallet,116.64,4.761904762,5832,6
545-46-3100,B,Mandalay,Member,Female,Electronic accessories,10.59,3,1.5885,33.3585,03/12/19,13:52:00,Credit card,31.77,4.761904762,1.5885,8.7
546-80-2899,A,Yangon,Member,Male,Home and lifestyle,37.69,2,3769,79149,2/20/2019,15:29:00,Ewallet,75.38,4.761904762,3769,9.5
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,19.95,418.95,2/20/2019,15:24:00,Credit card,399,4.761904762,19.95,5.9
548-48-3156,A,Yangon,Member,Female,Food and beverages,83.34,2,8334,175014,3/19/2019,13:37:00,Cash,166.68,4.761904762,8334,7.6
549-03-9315,B,Mandalay,Normal,Male,Fashion accessories,94.87,8,37948,796908,02/12/19,12:58:00,Ewallet,758.96,4.761904762,37948,8.7
549-23-9016,C,Naypyitaw,Member,Female,Food and beverages,14.87,2,1487,31227,2/13/2019,18:15:00,Credit card,29.74,4.761904762,1487,8.9
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,03/02/19,17:36:00,Ewallet,265.89,4.761904762,13.2945,6
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40626,853146,02/08/19,11:15:00,Ewallet,812.52,4.761904762,40626,7.2
549-96-4200,C,Naypyitaw,Member,Male,Food and beverages,17.04,4,3408,71568,03/08/19,20:15:00,Ewallet,68.16,4.761904762,3408,7
550-84-8664,A,Yangon,Normal,Male,Sports and travel,85.91,5,21.4775,451.0275,3/22/2019,14:33:00,Credit card,429.55,4.761904762,21.4775,8.6
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,02/01/19,11:27:00,Cash,207.63,4.761904762,10.3815,4.9
552-44-5977,B,Mandalay,Member,Male,Health and beauty,62,8,24.8,520.8,01/03/19,19:08:00,Credit card,496,4.761904762,24.8,6.2
554-42-2417,C,Naypyitaw,Normal,Female,Sports and travel,95.44,10,47.72,1002.12,01/09/19,13:45:00,Cash,954.4,4.761904762,47.72,5.2
554-53-3790,B,Mandalay,Normal,Male,Sports and travel,37.02,6,11106,233226,3/22/2019,18:33:00,Cash,222.12,4.761904762,11106,4.5
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5611,117831,02/02/19,10:11:00,Cash,112.22,4.761904762,5611,6.3
556-41-6224,C,Naypyitaw,Normal,Male,Health and beauty,33.64,8,13456,282576,2/15/2019,17:10:00,Credit card,269.12,4.761904762,13456,9.3
556-72-8512,C,Naypyitaw,Normal,Male,Home and lifestyle,22.96,1,1148,24108,1/30/2019,20:47:00,Cash,22.96,4.761904762,1148,4.3
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29,1,3.7145,78.0045,1/13/2019,19:30:00,Cash,74.29,4.761904762,3.7145,5
556-97-7101,C,Naypyitaw,Normal,Female,Electronic accessories,63.22,2,6322,132762,01/01/19,15:51:00,Cash,126.44,4.761904762,6322,8.5
558-60-5016,A,Yangon,Normal,Female,Home and lifestyle,33.3,9,14985,314685,03/04/19,15:27:00,Ewallet,299.7,4.761904762,14985,7.2
558-80-4082,C,Naypyitaw,Normal,Male,Electronic accessories,27.85,7,9.7475,204.6975,3/14/2019,17:20:00,Ewallet,194.95,4.761904762,9.7475,6
559-61-5987,B,Mandalay,Normal,Female,Health and beauty,17.75,1,0.8875,18.6375,1/14/2019,10:38:00,Cash,17.75,4.761904762,0.8875,8.6
559-98-9873,A,Yangon,Member,Female,Fashion accessories,53.65,7,18.7775,394.3275,02/10/19,12:56:00,Ewallet,375.55,4.761904762,18.7775,5.2
560-30-5617,B,Mandalay,Normal,Female,Sports and travel,24.77,5,6.1925,130.0425,3/24/2019,18:27:00,Cash,123.85,4.761904762,6.1925,8.5
560-49-6611,A,Yangon,Member,Female,Sports and travel,45.58,1,2279,47859,02/07/19,14:13:00,Cash,45.58,4.761904762,2279,9.8
562-12-5430,A,Yangon,Member,Female,Fashion accessories,88.15,3,13.2225,277.6725,1/18/2019,10:11:00,Ewallet,264.45,4.761904762,13.2225,7.9
563-36-9814,A,Yangon,Member,Male,Electronic accessories,76.82,1,3841,80661,2/13/2019,18:27:00,Ewallet,76.82,4.761904762,3841,7.2
563-47-4072,B,Mandalay,Normal,Female,Health and beauty,55.81,6,16743,351603,1/22/2019,11:52:00,Cash,334.86,4.761904762,16743,9.9
563-91-7120,A,Yangon,Normal,Female,Fashion accessories,61.77,5,15.4425,324.2925,03/08/19,13:21:00,Cash,308.85,4.761904762,15.4425,6.7
565-17-3836,A,Yangon,Member,Female,Health and beauty,47.67,4,9534,200214,03/12/19,14:21:00,Cash,190.68,4.761904762,9534,9.1
565-67-6697,B,Mandalay,Member,Male,Home and lifestyle,27,9,12.15,255.15,03/02/19,14:16:00,Cash,243,4.761904762,12.15,4.8
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9476,198996,1/23/2019,10:25:00,Cash,189.52,4.761904762,9476,7.1
565-91-4567,B,Mandalay,Normal,Male,Health and beauty,10.75,8,4.3,90.3,3/15/2019,14:38:00,Ewallet,86,4.761904762,4.3,6.2
566-19-5475,B,Mandalay,Normal,Male,Fashion accessories,47.97,7,16.7895,352.5795,01/07/19,20:52:00,Cash,335.79,4.761904762,16.7895,6.2
566-71-1091,A,Yangon,Normal,Male,Fashion accessories,77.02,5,19255,404355,02/03/19,15:59:00,Cash,385.1,4.761904762,19255,5.5
568-88-3448,A,Yangon,Normal,Male,Health and beauty,25,1,1.25,26.25,03/03/19,15:09:00,Ewallet,25,4.761904762,1.25,5.5
